,date,pays,ville,stade,equipe1,equipe2,score1,score2,result_france,competition
800,1936-02-09,France,Paris,Parc des Princes,France,Tchécoslovaquie,0,3,loss,Match amical
801,1946-04-07,France,Colombes,Stade olympique Yves-du-Manoir,France,Tchécoslovaquie,3,0,win,Match amical
802,1948-06-12,Tchécoslovaquie,Prague,Stade Letná,Tchécoslovaquie,France,0,4,win,Match amical
803,1949-11-13,France,Colombes,Stade olympique Yves-du-Manoir,France,Tchécoslovaquie,1,0,win,Match amical
804,1960-07-09,France,Marseille,stade Vélodrome,Tchécoslovaquie,France,2,0,loss,Euro 1960 (Petite finale)
805,1970-09-05,France,Nice (Stade Léo-Lagrange,Nice,France,Tchécoslovaquie,3,0,win,Match amical
806,1974-04-27,Tchécoslovaquie,Prague,Stade Letná,Tchécoslovaquie,France,3,3,draw,Match amical
807,1976-03-27,France,Paris,Parc des Princes,France,Tchécoslovaquie,2,2,draw,Match amical
808,1979-04-04,Tchécoslovaquie,Bratislava,Tehelné pole,Tchécoslovaquie,France,2,0,loss,Qualifications pour l'Euro 1980
809,1979-11-17,France,Paris,Parc des Princes,France,Tchécoslovaquie,2,1,win,Qualifications pour l'Euro 1980
810,1982-06-24,Espagne,Valladolid,Stade José-Zorrilla,France,Tchécoslovaquie,1,1,draw,Coupe du monde 1982 (Groupe 4 - 1er tour)
811,1988-08-24,France,Paris,Parc des Princes,France,Tchécoslovaquie,1,1,draw,Match amical
812,1990-10-13,France,Paris,Parc des Princes,France,Tchécoslovaquie,2,1,win,Qualifications pour l'Euro 1992
813,1991-09-04,Tchécoslovaquie,Bratislava,Tehelné pole,Tchécoslovaquie,France,1,2,win,Qualifications pour l'Euro 1992
814,1994-08-17,France,Bordeaux,Parc Lescure,France,Tchéquie,2,2,draw,Match amical
815,1996-06-26,Angleterre,Manchester,Old Trafford,Tchéquie,France,0,0,loss,Euro 1996 (Demi-finale)
816,2000-06-16,Belgique,Bruges,Stade Jan-Breydel,Tchéquie,France,1,2,win,Euro 2000 (Groupe D)
817,2003-02-12,France,Saint-Denis,Stade de France,France,Tchéquie,0,2,loss,Match amical
818,2006-06-23,Allemagne,Cologne,RheinEnergieStadion,Togo,France,0,2,win,Coupe du monde 2006 (Groupe G)
819,1978-05-19,France,Villeneuve-d'Ascq,Stadium Nord,France,Tunisie,2,0,win,Match amical
820,2002-08-21,Tunisie,Radès,Stade du 7-Novembre,Tunisie,France,1,1,draw,Match amical
821,2008-10-14,France,Saint-Denis,Stade de France,France,Tunisie,3,1,win,Match amical
822,2010-05-30,Tunisie,Radès,Stade du 7-Novembre,Tunisie,France,1,1,draw,Match amical
823,2022-11-30,Qatar,Al Rayyan,Education City Stadium,Tunisie,France,1,0,loss,Coupe du monde 2022 (Groupe D)
824,1996-10-09,France,Paris,Parc des Princes,France,Turquie,4,0,win,Match amical
825,2000-11-15,Turquie,Istanbul,stade BJK İnönü,Turquie,France,0,4,win,Match amical
826,2003-06-26,France,Saint-Denis,Stade de France,France,Turquie,3,2,win,Coupe des confédérations 2003 (Demi-finale)
827,2009-06-05,France,Lyon,Stade de Gerland,France,Turquie,1,0,win,Match amical
828,2019-06-08,Turquie,Konya,Konya Büyükşehir Belediye Stadyumu,Turquie,France,2,0,loss,Qualifications pour l'Euro 2020
829,2019-10-14,France,Saint-Denis,Stade de France,France,Turquie,1,1,draw,Qualifications pour l'Euro 2020
830,1999-03-27,France,Saint-Denis,Stade de France,France,Ukraine,0,0,draw,Qualifications pour l'Euro 2000
831,1999-09-04,Ukraine,Kiev,Stade olympique,Ukraine,France,0,0,draw,Qualifications pour l'Euro 2000
832,2004-06-06,France,Saint-Denis,Stade de France,France,Ukraine,1,0,win,Match amical
833,2007-06-02,France,Saint-Denis,Stade de France,France,Ukraine,2,0,win,Qualifications pour l'Euro 2008
834,2007-11-21,Ukraine,Kiev,Stade olympique,Ukraine,France,2,2,draw,Qualifications pour l'Euro 2008
835,2011-06-06,Ukraine,Donetsk,Donbass Arena,Ukraine,France,1,4,win,Match amical
836,2012-06-15,Ukraine,Donetsk,Donbass Arena,Ukraine,France,0,2,win,Euro 2012 (Groupe D)
837,2013-11-15,Ukraine,Kiev,Stade olympique,Ukraine,France,2,0,loss,Qualifications pour la Coupe du monde 2014 (barrage)
838,2013-11-19,France,Saint-Denis,Stade de France,France,Ukraine,3,0,win,Qualifications pour la Coupe du monde 2014 (barrage)
839,2020-10-07,France,Saint-Denis,Stade de France,France,Ukraine,7,1,win,Match amical
840,2021-03-24,France,Saint-Denis,Stade de France,France,Ukraine,1,1,draw,Qualifications pour la Coupe du monde 2022
841,2021-09-04,Ukraine,Kiev,Stade olympique,Ukraine,France,1,1,draw,Qualifications pour la Coupe du monde 2022
842,1955-10-23,Union soviétique,Moscou,Stade Dynamo,URSS,France,2,2,draw,Match amical
843,1956-10-21,France,Colombes,Stade olympique Yves-du-Manoir,France,URSS,2,1,win,Match amical
844,1966-06-06,Union soviétique,Moscou,Stade Central Lénine,URSS,France,3,3,draw,Match amical
845,1967-06-03,France,Paris,Parc des Princes,France,URSS,2,4,loss,Match amical
846,1972-10-13,France,Paris,Parc des Princes,France,URSS,1,0,win,Qualifications pour la Coupe du monde 1974
847,1973-05-26,Union soviétique,Moscou,Stade central Lénine,URSS-,France,2,0,loss,Qualifications pour la Coupe du monde 1974
848,1977-10-08,France,Paris,Parc des Princes,France,URSS,0,0,draw,Match amical
849,1980-05-23,Union soviétique,Moscou,Stade central Lénine,URSS-,France,1,0,loss,Match amical
850,1983-03-23,France,Paris,Parc des Princes,France,URSS,1,1,draw,Match amical
851,1986-06-05,Mexique,León,Estadio Nou Camp,France,URSS,1,1,draw,Coupe du monde 1986 (Groupe C)
852,1986-10-11,France,Paris,Parc des Princes,France,URSS,0,2,loss,Qualifications pour l'Euro 1988
853,1987-09-09,Union soviétique,Moscou,Stade central Lénine,URSS,France,1,1,draw,Qualifications pour l'Euro 1988
854,1924-06-01,France,Colombes,Stade olympique Yves-du-Manoir,France,Uruguay,1,5,loss,Jeux olympiques 1924 (Quart de finale)
855,1966-07-15,Angleterre,Londres,White City Stadium,Uruguay,France,2,1,loss,Coupe du monde 1966 (Groupe 1)
856,1985-08-21,France,Paris,Parc des Princes,France,Uruguay,2,0,win,Coupe intercontinentale 1985
857,2002-06-06,Corée du Sud,Busan,Asiad Main Stadium,France,Uruguay,0,0,draw,Coupe du monde 2002 (Groupe A)
858,2008-11-19,France,Saint-Denis,Stade de France,France,Uruguay,0,0,draw,Match amical
859,2010-06-11,Afrique du Sud,Le Cap,Green Point Stadium,Uruguay,France,0,0,draw,Coupe du monde 2010 (Groupe A)
860,2012-08-15,France,Le Havre,Stade Océane,France,Uruguay,0,0,draw,Match amical
861,2013-06-05,Uruguay,Montevideo,Stade Centenario,Uruguay,France,1,0,loss,Match amical
862,2018-07-06,Russie,Nijni Novgorod,Stade de Nijni Novgorod,Uruguay,France,0,2,win,Coupe du monde 2018 (Quart de finale)
863,2018-11-20,France,Saint-Denis,Stade de France,France,Uruguay,1,0,win,Match amical
864,1926-06-13,France,Colombes,Stade olympique Yves-du-Manoir,France,"Royaume desSerbes, Croates et Slovènes",4,1,win,Match amical
865,1929-05-19,France,Colombes,Stade olympique Yves-du-Manoir,France,"Royaume desSerbes, Croates et Slovènes",1,3,loss,Match amical
866,1932-06-05,Royaume de Yougoslavie,Belgrade,BSK Stadion,Royaume de Yougoslavie,France,2,1,loss,Match amical
867,1934-12-06,France,Paris,Parc des Princes,France,Royaume de Yougoslavie,3,2,win,Match amical
868,1936-12-13,France,Paris,Parc des Princes,France,Royaume de Yougoslavie,1,0,win,Match amical
869,1949-10-09,Yougoslavie,Belgrade,Stade du Partizan,Yougoslavie,France,1,1,draw,Qualifications pour la Coupe du monde 1950
870,1949-10-30,France,Colombes,Stade olympique Yves-du-Manoir,France,Yougoslavie,1,1,draw,Qualifications pour la Coupe du monde 1950
871,1949-12-11,Italie,Florence,Stade Artemio-Franchi,Yougoslavie,France,3,2,loss,Qualifications pour la Coupe du monde 1950 (barrage)
872,1951-02-06,France,Paris,Parc des Princes,France,Yougoslavie,2,1,win,Match amical
873,1953-10-18,Yougoslavie,Zagreb,Stade Maksimir,Yougoslavie,France,3,1,loss,Match amical
874,1954-06-16,Suisse,Lausanne,Stade olympique de la Pontaise,Yougoslavie,France,1,0,loss,Coupe du monde 1954 (Groupe 1)
875,1955-11-11,France,Colombes,Stade olympique Yves-du-Manoir,France,Yougoslavie,1,1,draw,Match amical
876,1958-06-11,Suède,Västerås,Arosvallen,Yougoslavie,France,3,2,loss,Coupe du monde 1958 (Groupe 2)
877,1960-07-06,France,Paris,Parc des Princes,France,Yougoslavie,4,5,loss,Euro 1960 (Demi-finale)
878,1965-04-18,Yougoslavie,Belgrade,Stade de l'Étoile rouge,Yougoslavie,France,1,0,loss,Qualifications pour la Coupe du monde 1966
879,1965-10-09,France,Paris,Parc des Princes,France,Yougoslavie,1,0,win,Qualifications pour la Coupe du monde 1966
880,1968-04-06,France,Marseille,stade Vélodrome,France,Yougoslavie,1,1,draw,Qualifications pour l'Euro 1968
881,1968-04-24,Yougoslavie,Belgrade,Stade de l'Étoile rouge,Yougoslavie,France,5,1,loss,Qualifications pour l'Euro 1968
882,1983-04-23,France,Paris,Parc des Princes,France,Yougoslavie,4,0,win,Match amical
883,1983-11-12,Yougoslavie,Zagreb,Stade Maksimir,Yougoslavie,France,0,0,draw,Match amical
884,1984-06-19,France,Saint-Étienne,Stade Geoffroy-Guichard,France,Yougoslavie,3,2,win,Euro 1984 (Groupe 1)
885,1985-04-03,Yougoslavie,Sarajevo,Olimpijski stadion Koševo,Yougoslavie,France,0,0,draw,Qualifications pour la Coupe du monde 1986
886,1985-11-16,France,Paris,Parc des Princes,France,Yougoslavie,2,0,win,Qualifications pour la Coupe du monde 1986
887,1988-11-19,Yougoslavie,Belgrade,Stade du Partizan,Yougoslavie,France,3,2,loss,Qualifications pour la Coupe du monde 1990
888,1989-04-29,France,Paris,Parc des Princes,France,Yougoslavie,0,0,draw,Qualifications pour la Coupe du monde 1990
889,2002-11-20,France,Saint-Denis,Stade de France,France,RF Yougoslavie,3,0,win,Match amical
