,date,pays,ville,stade,equipe1,equipe2,score1,score2,result_france,competition
603,1971-09-08,Norvège,Oslo,Ullevaal Stadion,Norvège,France,1,3,win,Qualifications pour l'Euro 1972
604,1987-06-16,Norvège,Oslo,Ullevaal Stadion,Norvège,France,2,0,loss,Qualifications pour l'Euro 1988
605,1987-10-14,France,Paris,Parc des Princes,France,Norvège,1,1,draw,Qualifications pour l'Euro 1988
606,1988-09-28,France,Paris,Parc des Princes,France,Norvège,1,0,win,Qualifications pour la Coupe du monde 1990
607,1989-09-05,Norvège,Oslo,Ullevaal Stadion,Norvège,France,1,1,draw,Qualifications pour la Coupe du monde 1990
608,1995-07-22,Norvège,Oslo,Ullevaal Stadion,Norvège,France,0,0,draw,Match amical
609,1998-02-25,France,Marseille,stade Vélodrome,France,Norvège,3,3,draw,Match amical
610,2010-08-11,Norvège,Oslo,Ullevaal Stadion,Norvège,France,2,1,loss,Match amical
611,2014-05-27,France,Saint-Denis,Stade de France,France,Norvège,4,0,win,Match amical
612,2003-06-22,France,Saint-Denis,Stade de France,France,Nouvelle-Zélande,5,0,win,Coupe des confédérations 2003 (Groupe A)
613,1958-06-08,Suède,Norrköping,Idrottsparken,France,Paraguay,7,3,win,Coupe du monde 1958 (Groupe 2)
614,1998-06-28,France,Lens,Stade Félix-Bollaert,France,Paraguay,1,0,loss,Coupe du monde 1998 (Huitième de finale)
615,2008-05-31,France,Toulouse,Stadium municipal de Toulouse,France,Paraguay,0,0,draw,Match amical
616,2014-06-01,France,Nice,Allianz Riviera,France,Paraguay,1,1,draw,Match amical
617,2017-06-02,France,Rennes,Roazhon Park,France,Paraguay,5,0,win,Match amical
618,1908-05-10,Pays-Bas,Rotterdam,Sparta Stadium at the Prinsenlaan,Pays-Bas,France,4,1,loss,Match amical
619,1921-11-13,France,Paris,Stade Pershing,France,Pays-Bas,0,5,loss,Match amical
620,1923-04-02,Pays-Bas,Amsterdam,De Toekomst,Pays-Bas,France,8,1,loss,Match amical
621,1931-11-29,France,Colombes,Stade olympique Yves-du-Manoir,France,Pays-Bas,3,4,loss,Match amical
622,1934-05-10,Pays-Bas,Amsterdam,Stade olympique,Pays-Bas,France,4,5,win,Match amical
623,1936-01-12,France,Paris,Parc des Princes,France,Pays-Bas,1,6,loss,Match amical
624,1937-10-31,Pays-Bas,Amsterdam,Stade olympique,Pays-Bas,France,2,3,win,Match amical
625,1947-05-26,France,Colombes,Stade olympique Yves-du-Manoir,France,Pays-Bas,4,0,win,Match amical
626,1949-04-23,Pays-Bas,Rotterdam,Stade de Feyenoord,Pays-Bas,France,4,1,loss,Match amical
627,1950-12-10,France,Colombes,Stade olympique Yves-du-Manoir,France,Pays-Bas,5,2,win,Match amical
628,1963-04-17,Pays-Bas,Rotterdam,Stade de Feyenoord,Pays-Bas,France,1,0,loss,Match amical
629,1980-03-26,France,Paris,Parc des Princes,France,Pays-Bas,0,0,draw,Match amical
